GenConBlf,VacConBlf,InfoPros_Analytic,InfoPros_Experiential,Aff_MMR,Aff_Cov,RskMsl,RskCov,RskMmrVac,RskCovVac,BnfMmrVac,BnfCovVac,VacIntMMR,VacIntCOV_Child,VacIntCOV_Self,HstMMR_inconfidence,HstMMR_risk,HstCov_risk,HstCov_inconfidence,AttdMMRVac,AttdMeasles,AttdCovVac,AttdCov19,SbjNrmMMR,BhvCtrlMMR,SbjNrmCov,BhvCtrlCov,Condition,Gender,Ethnicity,Race,PolIdeo,SlfPolIdeo,age,marital,ChildNum,Income,Edu,Employ,States
2.06666666666667,2.85714285714286,2.6,4.6,3,3,2,2,3,3,2,2,3,2,2,2.57142857142857,3,4,3,3.33333333333333,3,3,2.6,3,3.5,3,3.5,0,4,1,7,3,3,3,5,2,6,5,6,6
4.2,4,5.4,3.8,2,2,5,5,3,4,3,3,2,3.5,4,2.71428571428571,3.5,4.5,3.42857142857143,3.16666666666667,2.6,2.83333333333333,3.8,3.5,4.5,4.5,4.5,1,1,2,1,4,3,2,1,1,5,6,6,43
3.2,3.57142857142857,6,1.8,4,4,5,3,3,2,4,3,4,3,4,1.57142857142857,3.5,4,2,3.16666666666667,4.6,3.5,5,5,4,3.5,3.5,0,2,2,1,4,2,3,1,3,7,3,6,44
1.4,3,6.2,1.4,4,3,4,4,2,3,4,3,4,3,3,2.14285714285714,4,3.5,2.57142857142857,3,3.8,2.83333333333333,4.6,3,4.5,1.5,3.5,1,2,2,1,2,1,2,1,3,6,5,6,22
3.53333333333333,3.42857142857143,6.8,1,3,2,4,5,3,4,4,2,4,1,1,2.42857142857143,1.5,4.5,3.85714285714286,4.16666666666667,4.4,2.33333333333333,4.2,5,4.5,3,4,0,1,2,1,3,3,4,1,2,10,5,4,9
2.93333333333333,1.85714285714286,7,1,4,4,5,5,1,2,5,5,4,5,5,1.28571428571429,1.5,1.5,1.28571428571429,4,4.8,3.66666666666667,4.6,4,4,3.5,4,3,2,2,1,4,2,2,1,1,6,4,7,47
2.4,4.28571428571429,6.6,1.8,4,4,3,4,2,2,4,3,3,2,4.5,2,3.5,3.5,2.85714285714286,3.83333333333333,4.4,3.5,4.6,4,4.5,2,4,1,1,2,1,1,1,3,1,1,12,6,6,32
2.4,2.71428571428571,3.4,3.2,3,4,2,3,2,2,4,3,3,3,2.5,3.42857142857143,3,3.5,3,3.33333333333333,3.2,2.83333333333333,2.6,3,2,3,3,0,2,2,1,1,1,3,1,2,11,6,6,43
3.93333333333333,5,5.4,4,2,2,3,4,4,4,2,2,4,1.5,1.5,2.28571428571429,4,5,2.85714285714286,2.83333333333333,3.8,2.16666666666667,3.4,4.5,3,5,3.5,2,2,2,1,2,1,2,5,1,6,6,6,10
3.6,4,6.6,6.4,4,4,2,2,2,2,2,2,4,4,4,1.85714285714286,4.5,4.5,2.14285714285714,2.66666666666667,3.6,2.66666666666667,4.2,4,4,5,5,3,2,1,2,4,3,2,4,2,1,5,4,5
4.4,4.57142857142857,6,2.8,2,1,2,1,3,5,3,2,3,1,1,3.42857142857143,4.5,4,4.71428571428571,2.5,2.2,2,3,4,3.5,1.5,3,0,2,2,1,3,3,2,5,1,3,2,7,49
4.46666666666667,5,2.2,2.6,1,1,1,1,5,5,1,1,1,1,1,5,3,3,5,3.66666666666667,2.8,2.33333333333333,2.8,1,3,1,3,3,1,2,1,5,3,2,5,1,3,3,4,49
3.66666666666667,3.71428571428571,4.6,4.8,3,3,3,5,2,3,4,4,1,1,1,2,4,4.5,2.85714285714286,3,3,2.66666666666667,3.6,3.5,4,2,3,0,2,2,4,3,3,3,1,1,3,2,7,36
3.6,3.28571428571429,5.6,2.4,3,1,3,2,3,4,3,1,3,1,1,2.71428571428571,4,4,4.42857142857143,2.5,3.6,1.83333333333333,2.8,3,3.5,2,2,3,2,2,1,1,1,3,1,1,8,5,4,3
1.6,3,5,2.6,3,2,3,4,3,4,3,3,2.5,2,2,2.71428571428571,3.5,3,3,3,3,3,3,3,3,2,4,1,2,2,2,3,3,3,3,3,3,4,7,40
2.33333333333333,3.85714285714286,5,2.2,4,3,3,2,2,3,4,2,4,2,2,2.14285714285714,2,3.5,4,3.83333333333333,3.8,2.33333333333333,2.6,4,4,2,3,3,1,2,1,2,1,2,5,1,9,3,6,8
3.4,3,6,5,2,4,3,5,2,4,1,5,4,4.5,2,2.57142857142857,3,4,3.16666666666667,2.66666666666667,4.2,3.5,3.6,4,3.5,2.5,4,0,1,2,1,2,2,2,1,2,4,5,6,25
4.13333333333333,4,6.6,3.8,5,5,5,5,5,3, ,5,5,5,4.5,1.71428571428571,4.5,4,1.71428571428571,2.33333333333333,4.2,2.33333333333333,4.2,5,4.5,4,4.5,1,2,1,1,4,3,3,1,4,5,6,4,1
4,4,5.4,6.4,4,4,4,4,4,3,3,4,4,4,3.5,2.14285714285714,4,5,2,2.66666666666667,3.8,2,3.4,3.5,4,4.5,3.5,0,2,2,1,1,2,2,1,1,9,6,6,9
3,5,6.4,1,3,1,2,4,2,5,2,1,2.5,1,1,3.5,4,5,5,3.16666666666667,3.2,2.33333333333333,3.8,4,3.5,2.5,3,0,2,2,4,3,3,2,5,1,11,5,6,22
1.66666666666667,3.71428571428571,4,2.6,2,3,3,2,4,3,5,3,1,1,2,2.42857142857143,3.5,3.5,3.42857142857143,2.5,3.4,2.16666666666667,4,3,3,3,3,0,2,2,1,2,1,3,1,3,3,5,6,17
3.8,4,5.6,3.4,3,2,3,3,3,3,3,3,4,1,1,3,3,3.5,3.14285714285714,2.66666666666667,3.8,2.5,3.8,3,3.5,1,3,3,2,2,1,3,3,2,5,1,5,4,6,38
3.73333333333333,3.28571428571429,4.8,2.8,2,2,3,3,3,4,3,3,2,2,2,3.42857142857143,3.5,4,3.42857142857143,2.83333333333333,3.4,2.83333333333333,3.2,3.5,3.5,4,4,1,1,2,1,2,1,3,1,1,11,6,6,46
3.06666666666667,3.14285714285714,4.4,3.6,4,4,3,4,2,2,4,4,4,5,5,2.14285714285714,3.5,3,1.85714285714286,3.33333333333333,3.2,4,3.8,4.5,4.5,3,3.5,3,2,2,4,3,3,3,1,1,3,7,6,18
3.26666666666667,2.85714285714286,2.8,5.6,2,4,3,4,5,2,2,3,2.5,4,3,2.14285714285714,1.5,4,2.57142857142857,3,2.8,2.83333333333333,3.2,4.5,2.5,4,2.5,2,1,1,3,2,3,3,1,2,2,6,4,14
2.86666666666667,2.85714285714286,4.6,4.2,4,3,4,3,2,3,2,3,3.5,3,4,2.85714285714286,3,4,3.42857142857143,2.66666666666667,2.4,2.33333333333333,3.2,3.5,2,3,3,1,2,2,1,4,2,2,1,1,5,5,6,43
